labeled_by,date_iso,artifact,policy,env,observed_mode,canonical_label,notes
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed0__ep000.mp4,smolvla_libero,libero_spatial_t5,grasp_never_secured,gripper_slip,fingers close on/above the bowl-on-ramekin stack but never secure it (zoom-verified frames 20-130); arm then executes the place motion empty-handed and cycles back for repeated re-attempts; late attempts knock the bowl beside the ramekin; plate empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed1__ep000.mp4,smolvla_libero,libero_spatial_t5,grasp_never_secured,gripper_slip,first grasp attempt knocks the bowl off the ramekin; bowl lands upside-down on the table beside the ramekin; arm proceeds to the plate empty and paws there; bowl still inverted at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed2__ep000.mp4,smolvla_libero,libero_spatial_t5,grasp_never_secured,gripper_slip,repeated stack-plate cycles; grasp attempts at the elevated bowl never secure; bowl remains at/near the ramekin; plate empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed3__ep000.mp4,smolvla_libero,libero_spatial_t5,grasp_never_secured,gripper_slip,same reach-grasp-fail cycle as s0/s2; bowl never lifted off the ramekin; gripper ends empty near the distractor bowl; plate empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed4__ep001.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,grasp and transport succeed; bowl released half-on the plate's near rim tilted; predicate never fires; gripper returns to fiddle at the ramekin
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed0__ep001.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl carried to the plate but released leaning tilted on the plate rim; policy keeps hovering/poking without re-seating it
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed1__ep001.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl picked and carried but released away from the plate; ends on the table near the ramekin/stove area; plate empty at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed2__ep001.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl released tilted at the plate rim next to the distractor bowl; never seated flat; predicate unsatisfied at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed3__ep001.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl rests visually on the plate but tilted on the rim; success never fires; gripper repeatedly descends onto it without re-seating
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed4__ep002.mp4,smolvla_libero,libero_spatial_t5,wrong_object,wrong_object,at cap the RAMEKIN (smooth grey cup) sits on the plate with the gripper poking it; target bowl not visible in frame; policy manipulated the wrong object of the stack
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed0__ep002.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl carried and released tilted on the plate's right rim; arm withdraws then hovers; bowl half-on at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed1__ep002.mp4,smolvla_libero,libero_spatial_t5,place_off_target,premature_release,bowl ends within the plate visually but tilted/rim-balanced and success never fires; borderline predicate-marginal placement; gripper still descending on it at cap
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed0__ep009.mp4,smolvla_libero,libero_spatial_t5,success_reference,success_reference,SUCCESS (118 steps): single clean grasp of the bowl off the ramekin (~step 50) followed by a ~40-step hover holding it then direct transport and a centered flat placement on the plate; NOTE last video frame is the next episode's reset frame; terminal state is the penultimate frame
fable-5,2026-08-10,videos/smolvla_libero__libero_spatial_t5__seed1__ep009.mp4,smolvla_libero,libero_spatial_t5,success_reference,success_reference,SUCCESS (116 steps): near-identical trajectory to seed0 ep009; clean early grasp then centered placement; same reset-frame quirk in the final video frame
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed0__ep000.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,arm reaches the alphabet-soup can then hovers quasi-static above it from ~step 200 to the 520 cap (frames at 47-step spacing near-identical); no grasp committed; basket empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed1__ep000.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,same init and near-identical stall as seed0 ep000; hovers over the can to cap; nothing delivered
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed2__ep000.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,same hover-stall over the first can to cap; basket empty
fable-5,2026-08-10,videos/smolvla_libero__libero_10__seed3__ep000.mp4,smolvla_libero,libero_10,hover_stall_no_grasp,timeout,retract-return cycles then hover-stall low over the soup can near the basket edge to cap; both cans out of basket at terminal frame
